discipline_name,competence
Информатика,"ОПК-1, ОПК-2, ОПК-4, ОПК-5 "
Компьютерная графика,ОПК-5 
Математика,"ОК-7, ОПК-5 "
Программирование,"ОПК-1, ОПК-2 "
История,ОК-2 
Математика,"ОК-7, ОПК-5 "
Прикладная информатика,"ОПК-2, ПК-2 "
Программирование,"ОПК-1, ОПК-2 "
Русский язык и культура речи,ОК-5 
Физика для информатики,"ОК-7, ОПК-5, ПК-3 "
Дискретная математика,"ОК-7, ОПК-5 "
Информационные технологии,"ОПК-2, ПК-3 "
Математическая логика и теория алгоритмов,ОК-7 
Объектно-ориентированное программирование,ПК-2 
Физика для информатики,"ОК-7, ОПК-5, ПК-3 "
Экономика,ОК-3
Базы данных,"ОПК-2, ОПК-5 "
Культурология,ОК-6 
Теория вероятности и математическая статистика,"ОК-7, ОПК-5 "
Теория информационных систем,"ОПК-2, ПК-3 "
Теория систем и системный анализ,"ОК-7, ОПК-5, ПК-3 "
Философия,ОК-1 
Метрология и технические измерения,ОПК-4 
Операционные системы,"ОПК-1, ОПК-4, ПК-2 "
Проблемно-ориентированные вычислительные системы,"ОПК-2, ПК-2 "
Теория принятия решения,"ОК-7, ПК-3 "
Финансовая математика,"ОК-3, ПК-3 "
Элективные дисциплины по физической культуре и спорту,ОК-8 
"Электротехника, электроника и схемотехника",ПК-2 
